,TAC-MI_126_Proteins_norm,DKO_127N_Proteins_norm,Sham_127C_Proteins_norm,DKO_128N_Proteins_norm,DFC_128C_Proteins_norm,Sham_129N_Proteins_norm,DKO_129C_Proteins_norm,TAC-MI_130N_Proteins_norm,Sham_130C_Proteins_norm,DFC_131N_Proteins_norm,TAC-MI_131C_Proteins_norm
127,12052.676964493829,15798.871395679755,14162.556102491124,16503.659358838366,15112.891544434102,14294.765504158118,16408.091817902547,10923.017417911671,13591.25767827218,14502.068223599796,9882.165250076026
128,11858.227831920503,13292.074091980028,12654.722796880826,15607.088673296084,13696.775382146414,12804.281846458727,14145.946079607196,11970.98008699202,12151.713949989033,12904.518260341398,11016.051789926112
129,2242.196832596326,1618.6074290604859,1728.601947186803,1654.0625057262546,1724.252145328775,1825.012070046864,1738.6829810654162,2366.9338001375454,1876.5302132371644,1719.431400733275,2617.1138491896018
130,10693.373249091645,12491.594630323136,11917.762937493522,12909.202683354324,12070.376051828702,11790.530728334372,12616.075030961423,10298.796175894246,11996.234781003614,12458.669167851722,9623.176389566734
132,6760.941133196254,6703.94897690758,6513.390635319965,6360.906106067355,6809.805225208006,6465.382160192578,6605.394403625866,6803.404023399164,6838.416172988404,6705.71617791757,6638.272429650034
133,3945.824774342869,3178.948183369301,3067.3077548113106,3385.5943794371806,3189.4256510921273,3380.155459744159,3136.8236435704466,4990.637439030738,3101.470456666245,3734.7422122230328,20628.557479425657
134,6404.04212067602,7324.484628714945,6480.798357062287,7732.784913921886,7155.6507676467545,6547.5366642849785,7653.505788028492,6259.393692194501,6505.452920464949,7334.428854708439,5905.98317176796
135,8322.361533718034,8776.451141704823,9236.497505558633,9454.068871237989,8948.949814557824,8674.097137122797,9459.783355830792,7984.830054139564,8850.087679639628,9183.695885980893,7911.077522711303
136,4448.611753310073,4056.7618008609834,4374.96281085249,4275.333120716246,4271.044055019067,4009.9672551460435,4203.316012085735,4610.940819798728,4249.0600913649105,4193.434012264446,4740.4834363917125
137,12578.568835133787,7067.472720906207,7702.788573628894,6706.529286383218,7858.776927249007,8676.69771135306,7507.643785069952,13767.7994133527,9281.628503921529,9680.252959255495,17377.08547016689
138,7370.971613777244,8677.300240072604,8590.597829006127,8233.224831202393,7907.485108137654,7805.859967973615,8798.364395260665,6386.117438863185,8018.235227991409,8267.96940945313,6429.745010579978
139,3665.3968192174034,2969.738007206149,3255.1537909856333,2555.0251554377455,3069.226430512077,3256.39176796755,3072.7866666618197,3936.314851578253,3232.055176864863,2985.308084445832,3796.8744267117213
140,163.2677522185087,242.2013527348741,178.3766580318887,145.66681161212188,170.7405050505282,132.98390950208704,199.0285053919375,112.76989591190711,150.36691610955782,192.97203798707585,153.27912152590852
141,578.3379300564206,558.6328527561229,555.5001480067151,617.6809607974648,625.3501933445727,566.9251821973418,571.391667416178,678.1381619483707,543.1213000941677,585.3788958259729,588.384396228276
142,106.83456547798473,64.56337780702611,80.93015040335692,51.361580978813485,76.20473461610999,77.3079793905466,71.84395403174705,94.92415480800263,74.12766669998156,68.43920282409817,97.53219313750068
143,23629.965671119113,26183.46502333898,22790.480898826143,29020.147246062523,28073.108449271538,25517.425386938692,25127.200571989262,24867.75545582649,23733.52284025167,25578.033497107026,22878.679027238977
